# Seconds,Charge (C)
0.0,0.00315605451
0.001,0.002861237442
0.002,0.002659362822
0.003,0.002390934024
0.004,0.002113918152
0.005,0.0018317291340000002
0.006,0.001541510418
0.007,0.001254165672
0.008,0.000955917258
0.009,0.000655944462
0.01,0.00035541429
0.011,6.6919956e-05
0.012,-0.00022214917199999998
0.013,-0.000495733698
0.014,-0.000764162496
0.015,-0.00102626856
0.016,-0.001274614404
0.017,-0.0015149305499999998
0.018,-0.00174206127
0.019,-0.0019628692559999997
0.02,-0.0021624795359999997
0.021,-0.002355192288
0.022,-0.002527822086
0.023,-0.002694721362
0.024,-0.002850159594
0.025,-0.002995268952
0.026,-0.003131773818
0.027,-0.003249920112
0.028,-0.003352024428
0.029,-0.0034478060100000003
0.03,-0.0035372822760000003
0.031,-0.003609549558
0.032,-0.0036669070319999995
0.033,-0.003711061662
0.034,-0.003740306484
0.035,-0.0037529345339999995
0.036,-0.003754658916
0.037,-0.0037380247259999996
0.038,-0.003706480728
0.039,-0.003665757444
0.04,-0.00360151986
0.041,-0.003528677784
0.042,-0.0034076575200000002
0.043,-0.0033256361579999997
0.044,-0.00317652066
0.045,-0.0030428723459999998
0.046,-0.0028771226579999997
0.047,-0.0027010440959999997
0.048,-0.002498577264
0.049,-0.002288655528
0.05,-0.0020626743959999997
0.051,-0.001820059074
0.052,-0.0015671322959999998
0.053,-0.0012935477699999999
0.054,-0.0010159396859999999
0.055,-0.000733175874
0.056,-0.00044468154
0.057,-0.000144151368
0.058,0.000153522252
0.059,0.000454069842
0.06,0.000749444286
0.061,0.001029908922
0.062,0.0013143796979999999
0.063,0.0015810841140000002
0.064,0.00185179467
0.065,0.00211219377
0.066,0.002364545754
0.067,0.002605436694
0.068,0.002833717002
0.069,0.003052818024
0.07,0.003258716202
0.071,0.0034445488439999996
0.072,0.003633812832
0.073,0.003803011284
0.074,0.003954425958
0.075,0.0041041162499999995
0.076,0.004233741006
0.077,0.004350180336
0.078,0.00446144652
0.079,0.0045532045439999995
0.08,0.004631777142
0.081,0.004708642776
0.082,0.00477288036
0.083,0.004814178438
0.084,0.004845722436
0.085,0.0048646383839999995
0.086,0.004868087148
0.087,0.004852027752
0.088,0.004822208136
0.089,0.0047768865
0.09,0.004717822062
0.091,0.004644979986
0.092,0.0045560785139999995
0.093,0.004438507014
0.094,0.00433124697
0.095,0.004179257502
0.096,0.003997448418
0.097,0.003810466188
0.098,0.00361545426
0.099,0.003408981288
0.1,0.003188748096
0.101,0.002953587678
0.102,0.002703517452
0.103,0.002431657308
0.104,0.002148318702
0.105,0.0018649975139999999
0.106,0.0015736292099999998
0.107,0.00128570967
0.108,0.000982305528
0.109,0.00068635629
0.11,0.0003858087
0.111,9.3308226e-05
0.112,-0.00019405393799999999
0.113,-0.000474518574
0.114,-0.0007440795419999999
0.115,-0.001001029878
0.116,-0.001247093964
0.117,-0.0014816621699999999
0.118,-0.001706493714
0.119,-0.001925594736
0.12,-0.002132067708
0.121,-0.0023270796359999998
0.122,-0.002508331344
0.123,-0.00267923676
