Charge (C),Temperature (K)
0.00315605451,1666.1500431252812
0.002861237442,1665.284448945607
0.002659362822,1663.9187939130748
0.002390934024,1662.2647799158326
0.002113918152,1660.274344032944
0.001831729134,1658.029220374066
0.001541510418,1655.9003381107082
0.001254165672,1653.5570626249814
0.000955917258,1651.0430326610149
0.000655944462,1648.6733905180809
0.00035541429,1646.2624643446975
6.6919956e-05,1644.404687665966
-0.0002221491719999,1642.5159128196774
-0.000495733698,1641.1722035146272
-0.000764162496,1640.484876467021
-0.00102626856,1640.0396097923922
-0.001274614404,1640.442393414634
-0.0015149305499999,1641.2351866057884
-0.00174206127,1642.2552574195488
-0.0019628692559999,1643.6692687354716
-0.0021624795359999,1645.403188230553
-0.002355192288,1647.53270077456
-0.002527822086,1649.9696063462425
-0.002694721362,1652.520179076203
-0.002850159594,1655.0539570511885
-0.002995268952,1657.2487341208266
-0.003131773818,1659.4024429914834
-0.003249920112,1661.102581526282
-0.003352024428,1662.5488817544228
-0.00344780601,1664.0151744859322
-0.003537282276,1665.2232459590678
-0.003609549558,1666.1876558256636
-0.0036669070319999,1666.978996984505
-0.003711061662,1667.6475319337642
-0.003740306484,1668.1489994357144
-0.0037529345339999,1668.38982716681
-0.003754658916,1668.6334886921918
-0.0037380247259999,1668.721831374492
-0.003706480728,1668.8354963635356
-0.003665757444,1668.91607717554
-0.00360151986,1669.18727645441
-0.003528677784,1669.1865172433304
-0.00340765752,1669.1712031383909
-0.0033256361579999,1669.2229567269724
-0.00317652066,1669.2139427870966
-0.0030428723459999,1669.2223984178258
-0.0028771226579999,1669.102590885264
-0.0027010440959999,1669.063402308805
-0.002498577264,1668.9208735722273
-0.002288655528,1668.810787718278
-0.0020626743959999,1668.4507117188057
-0.001820059074,1668.474995489864
-0.0015671322959999,1668.5303910606522
-0.0012935477699999,1668.3374763901743
-0.0010159396859999,1668.2053501016237
-0.000733175874,1668.2497968578368
-0.00044468154,1668.2223109838224
-0.000144151368,1668.0654849779185
0.000153522252,1667.669994348369
0.000454069842,1667.544595858978
0.000749444286,1667.5467024509037
0.001029908922,1667.6856709232106
0.0013143796979999,1668.1105277524684
0.001581084114,1668.565484533232
0.00185179467,1668.7156902322613
0.00211219377,1668.7559535993923
0.002364545754,1668.6640927336462
0.002605436694,1668.4131607898669
0.002833717002,1668.182253445283
0.003052818024,1668.057029925853
0.003258716202,1668.3062788352486
0.0034445488439999,1668.42896954423
0.003633812832,1668.4430352157024
0.003803011284,1668.1155610798692
0.003954425958,1668.0190647507798
0.0041041162499999,1667.859997201504
0.004233741006,1667.9662090583734
0.004350180336,1668.3897374011815
0.00446144652,1668.6080973928738
0.0045532045439999,1668.882512129214
0.004631777142,1668.9960592548878
0.004708642776,1668.8197041237636
0.00477288036,1668.7567547161393
0.004814178438,1668.6093634631934
0.004845722436,1668.554156845055
0.0048646383839999,1668.4959159022303
0.004868087148,1668.4685176416692
0.004852027752,1668.3467816204277
0.004822208136,1668.208467561422
0.0047768865,1668.2341996587525
0.004717822062,1668.272010736443
0.004644979986,1668.3402775232055
0.0045560785139999,1668.388683403472
0.004438507014,1668.2650501325852
0.00433124697,1668.272258108765
0.004179257502,1668.2866770917603
0.003997448418,1668.2504785775527
0.003810466188,1668.2563489086097
0.00361545426,1668.266409515365
0.003408981288,1668.316033850187
0.003188748096,1668.4175848105165
0.002953587678,1667.7456145778483
0.002703517452,1667.9524738671637
0.002431657308,1668.1596496816342
0.002148318702,1668.284655181276
0.0018649975139999,1668.3924014053314
0.0015736292099999,1668.1490450513015
0.00128570967,1667.9279677257805
0.000982305528,1667.8042461067052
0.00068635629,1667.6798104845216
0.0003858087,1667.7563363908916
9.3308226e-05,1667.599772515674
-0.0001940539379999,1667.4037817393096
-0.000474518574,1667.4448693026698
-0.0007440795419999,1667.5936999142125
-0.001001029878,1667.9924656992748
-0.001247093964,1668.130665431126
-0.0014816621699999,1668.2432988952833
-0.001706493714,1668.7005257995174
-0.001925594736,1668.898407378956
-0.002132067708,1669.198004010353
-0.0023270796359999,1668.9357076624046
-0.002508331344,1668.5884837920526
-0.00267923676,1668.151893321383
-0.00283295061,1667.942893563205
-0.00298265832,1667.9015971243552
-0.003118588392,1667.642085854337
-0.0032367346859999,1667.6179239481205
-0.003352024428,1667.765856866603
-0.0034409259,1667.7956087894026
-0.003535557894,1667.9753210775916
-0.0036003702719999,1668.196868605556
-0.003670913172,1668.4160045387148
-0.003701882376,1668.4487063964602
-0.003727695852,1668.472192455985
-0.00374260566,1668.7146875141043
-0.003747778806,1668.7736912939436
-0.003736300344,1668.8378010113051
-0.00371221125,1668.7875570480164
-0.003671487966,1668.738356779043
-0.003613555698,1668.4854675887864
-0.003536707482,1668.4219920513146
-0.003413388042,1668.409706620047
-0.00334112076,1668.3850980210336
-0.0032086394519999,1668.3942110486057
-0.003068685822,1668.2615767946731
-0.0028966134,1668.493020168642
-0.002711930346,1668.423452071731
-0.002515211454,1668.484284202957
-0.002301840954,1668.416939858314
-0.0020821825559999,1668.4343671720862
-0.0018389924399999,1668.5902488658876
-0.0015917961839999,1668.4650783377656
-0.001320493416,1668.4939632094945
-0.001049208066,1668.7060114451533
-0.00076874343,1668.6896429994797
-0.00047794992,1668.9514337566202
-0.000182000682,1669.1590422525887
0.00012140346,1669.3110227141156
0.0004219510499999,1669.3195080220094
0.000717325494,1668.9132129541094
0.001008119004,1668.46570715807
0.00129258978,1668.0102477044006
0.001567323894,1667.7747838122689
0.001832878722,1667.877570805636
0.00209268561,1667.991196411078
0.002347354188,1668.176808802677
0.002584796364,1668.2876710881114
0.0028142088419999,1668.3169572062525
0.0030292863059999,1668.3318087084922
0.003232902726,1668.3502955217891
0.0034267650659999,1668.6272481192327
