# Seconds,Current (A)
0.0,-0.10186
0.001,-0.11370999999999999
0.002,-0.12655
0.003,-0.14236
0.004,-0.15619
0.005,-0.17035
0.006,-0.18153999999999998
0.007,-0.19175
0.008,-0.20163
0.009,-0.21084999999999998
0.01,-0.21908
0.011,-0.22699
0.012,-0.23290999999999998
0.013,-0.23554999999999998
0.014,-0.23686
0.015,-0.23751999999999998
0.016,-0.23653
0.017,-0.23522
0.018,-0.23258
0.019,-0.2316
0.02,-0.22829999999999998
0.021,-0.22172
0.022,-0.21545999999999998
0.023,-0.20986
0.024,-0.20229
0.025,-0.19768
0.026,-0.18944999999999998
0.027,-0.18252999999999997
0.028,-0.17232
0.029,-0.16376000000000002
0.03,-0.15092
0.031,-0.14302
0.032,-0.13346999999999998
0.033,-0.12425
0.034,-0.11338000000000001
0.035,-0.10285
0.036,-0.09033
0.037,-0.0765
0.038,-0.06827
0.039,-0.05707
0.04,-0.04588
0.041,-0.03468
0.042,-0.015909999999999997
0.043,-0.004719999999999999
0.044,0.0124
0.045,0.02327
0.046,0.04204
0.047,0.05554
0.048,0.07035999999999999
0.049,0.08550999999999999
0.05,0.09934
0.051,0.11513999999999999
0.052,0.12897
0.053,0.14279999999999998
0.054,0.15597
0.055,0.16684
0.056,0.17934999999999998
0.057,0.19121
0.058,0.20108999999999996
0.059,0.21128999999999998
0.06,0.21787999999999996
0.061,0.22610999999999998
0.062,0.23038999999999998
0.063,0.23303
0.064,0.23664999999999997
0.065,0.23632
0.066,0.23698
0.067,0.23698
0.068,0.23466999999999996
0.069,0.23137999999999997
0.07,0.22610999999999998
0.071,0.22018
0.072,0.21392999999999998
0.073,0.20767
0.074,0.20273
0.075,0.19483
0.076,0.18956
0.077,0.18198999999999999
0.078,0.17178
0.079,0.16321999999999998
0.08,0.15466
0.081,0.14478
0.082,0.13424
0.083,0.12403
0.084,0.11513999999999999
0.085,0.10262999999999999
0.086,0.09242
0.087,0.07924999999999999
0.088,0.06674
0.089,0.04731
0.09,0.04303
0.091,0.03084
0.092,0.01043
0.093,0.00648
0.094,0.00845
0.095,-0.031059999999999997
0.096,-0.03929
0.097,-0.05576
0.098,-0.06727999999999999
0.099,-0.08506
0.1,-0.10021
0.101,-0.11173999999999999
0.102,-0.12786999999999998
0.103,-0.14268999999999998
0.104,-0.15454
0.105,-0.16935999999999998
0.106,-0.18186999999999998
0.107,-0.19405999999999998
0.108,-0.20163
0.109,-0.20986
0.11,-0.21711
0.111,-0.22302999999999998
