# Seconds,DAQ1/ai0,DAQ1/ai1,DAQ1/ai2
0.000000,-0.010186,0.181195,-3.481675
0.001000,-0.011371,0.164269,-3.961533
0.002000,-0.012655,0.152679,-4.444024
0.003000,-0.014236,0.137268,-4.914346
0.004000,-0.015619,0.121364,-5.379736
0.005000,-0.017035,0.105163,-5.832300
0.006000,-0.018154,0.088501,-6.268420
0.007000,-0.019175,0.072004,-6.688755
0.008000,-0.020163,0.054881,-7.084422
0.009000,-0.021085,0.037659,-7.454107
0.010000,-0.021908,0.020405,-7.793534
0.011000,-0.022699,0.003842,-8.097441
0.012000,-0.023291,-0.012754,-8.362866
0.013000,-0.023555,-0.028461,-8.587178
0.014000,-0.023686,-0.043872,-8.765773
0.015000,-0.023752,-0.058920,-8.905558
0.016000,-0.023653,-0.073178,-8.994691
0.017000,-0.023522,-0.086975,-9.042711
0.018000,-0.023258,-0.100015,-9.043698
0.019000,-0.023160,-0.112692,-9.004229
0.020000,-0.022830,-0.124152,-8.916412
0.021000,-0.022172,-0.135216,-8.790441
0.022000,-0.021546,-0.145127,-8.625660
0.023000,-0.020986,-0.154709,-8.421082
0.024000,-0.020229,-0.163633,-8.186902
0.025000,-0.019768,-0.171964,-7.914899
0.026000,-0.018945,-0.179801,-7.623492
0.027000,-0.018253,-0.186584,-7.292288
0.028000,-0.017232,-0.192446,-6.948915
0.029000,-0.016376,-0.197945,-6.573311
0.030000,-0.015092,-0.203082,-6.186524
0.031000,-0.014302,-0.207231,-5.779676
0.032000,-0.013347,-0.210524,-5.354082
0.033000,-0.012425,-0.213059,-4.920924
0.034000,-0.011338,-0.214738,-4.466389
0.035000,-0.010285,-0.215463,-4.016130
0.036000,-0.009033,-0.215562,-3.539231
0.037000,-0.007650,-0.214607,-3.068912
0.038000,-0.006827,-0.212796,-2.584122
0.039000,-0.005707,-0.210458,-2.099332
0.040000,-0.004588,-0.206770,-1.607966
0.041000,-0.003468,-0.202588,-1.109694
0.042000,-0.001591,-0.195640,-0.611422
0.043000,-0.000472,-0.190931,-0.103614
0.044000,0.001240,-0.182370,0.402221
0.045000,0.002327,-0.174697,0.933380
0.046000,0.004204,-0.165181,1.461907
0.047000,0.005554,-0.155072,1.978593
0.048000,0.007036,-0.143448,2.480151
0.049000,0.008551,-0.131396,2.976117
0.050000,0.009934,-0.118422,3.466491
0.051000,0.011514,-0.104493,3.949630
0.052000,0.012897,-0.089972,4.430795
0.053000,0.014280,-0.074265,4.902423
0.054000,0.015597,-0.058327,5.368459
0.055000,0.016684,-0.042093,5.821669
0.056000,0.017935,-0.025530,6.262710
0.057000,0.019121,-0.008276,6.683689
0.058000,0.020109,0.008814,7.083949
0.059000,0.021129,0.026069,7.456910
0.060000,0.021788,0.043027,7.796982
0.061000,0.022611,0.059129,8.091339
0.062000,0.023039,0.075461,8.338994
0.063000,0.023303,0.090773,8.549155
0.064000,0.023665,0.106315,8.724125
0.065000,0.023632,0.121265,8.870811
0.066000,0.023698,0.135753,8.976056
0.067000,0.023698,0.149583,9.030323
0.068000,0.023467,0.162689,9.038545
0.069000,0.023138,0.175268,9.003025
0.070000,0.022611,0.187089,8.919815
0.071000,0.022018,0.197758,8.802072
0.072000,0.021393,0.208624,8.634667
0.073000,0.020767,0.218338,8.437661
0.074000,0.020273,0.227031,8.203162
0.075000,0.019483,0.235625,7.936761
0.076000,0.018956,0.243067,7.643720
0.077000,0.018199,0.249752,7.315487
0.078000,0.017178,0.256140,6.973441
0.079000,0.016322,0.261408,6.596534
0.080000,0.015466,0.265919,6.214364
0.081000,0.014478,0.270332,5.801936
0.082000,0.013424,0.274020,5.378984
0.083000,0.012403,0.276391,4.940574
