Time (s),Temperature (K)
0.0,1666.1500431252812
0.001,1665.284448945607
0.002,1663.9187939130748
0.003,1662.2647799158326
0.004,1660.274344032944
0.005,1658.029220374066
0.006,1655.9003381107082
0.007,1653.5570626249814
0.008,1651.0430326610149
0.009,1648.6733905180809
0.01,1646.2624643446975
0.011,1644.4046876659659
0.012,1642.5159128196774
0.013,1641.1722035146272
0.014,1640.484876467021
0.015,1640.0396097923922
0.016,1640.442393414634
0.017,1641.2351866057884
0.018,1642.2552574195488
0.019,1643.6692687354716
0.02,1645.403188230553
0.021,1647.53270077456
0.022,1649.9696063462425
0.023,1652.520179076203
0.024,1655.0539570511883
0.025,1657.2487341208266
0.026,1659.4024429914834
0.027,1661.102581526282
0.028,1662.5488817544228
0.029,1664.0151744859322
0.03,1665.2232459590678
0.031,1666.1876558256636
0.032,1666.978996984505
0.033,1667.6475319337642
0.034,1668.1489994357144
0.035,1668.38982716681
0.036,1668.6334886921918
0.037,1668.721831374492
0.038,1668.8354963635356
0.039,1668.91607717554
0.04,1669.18727645441
0.041,1669.1865172433304
0.042,1669.1712031383909
0.043,1669.2229567269724
0.044,1669.2139427870966
0.045,1669.2223984178258
0.046,1669.102590885264
0.047,1669.063402308805
0.048,1668.9208735722273
0.049,1668.8107877182779
0.05,1668.4507117188055
0.051,1668.4749954898639
0.052,1668.5303910606522
0.053,1668.3374763901743
0.054,1668.2053501016235
0.055,1668.2497968578368
0.056,1668.2223109838224
0.057,1668.0654849779185
0.058,1667.669994348369
0.059,1667.544595858978
0.06,1667.5467024509035
0.061,1667.6856709232106
0.062,1668.1105277524684
0.063,1668.565484533232
0.064,1668.7156902322613
0.065,1668.7559535993923
0.066,1668.6640927336462
0.067,1668.4131607898667
0.068,1668.182253445283
0.069,1668.057029925853
0.07,1668.3062788352486
0.071,1668.4289695442299
0.072,1668.4430352157024
0.073,1668.1155610798692
0.074,1668.0190647507798
0.075,1667.859997201504
0.076,1667.9662090583734
0.077,1668.3897374011817
0.078,1668.6080973928738
0.079,1668.8825121292139
0.08,1668.9960592548878
