# Seconds,DAQ1/ai0,DAQ1/ai1,DAQ1/ai2
0.000000,0.022743,0.038138,9.107612
0.001000,0.022776,0.052610,9.152012
0.002000,0.022545,0.066423,9.148395
0.003000,0.022117,0.079908,9.099061
0.004000,0.021788,0.094050,9.008616
0.005000,0.021261,0.106877,8.874099
0.006000,0.021261,0.119704,8.703734
0.007000,0.020174,0.132201,8.490284
0.008000,0.019582,0.144370,8.246905
0.009000,0.018726,0.155553,7.969321
0.010000,0.018067,0.167064,7.662466
0.011000,0.017211,0.177917,7.332918
0.012000,0.016453,0.187784,6.972784
0.013000,0.015696,0.197651,6.599494
0.014000,0.014708,0.206202,6.195288
0.015000,0.014280,0.214753,5.783847
0.016000,0.012634,0.222318,5.348397
0.017000,0.011778,0.229882,4.903410
0.018000,0.010526,0.235802,4.445924
0.019000,0.009736,0.241722,3.974954
0.020000,0.008485,0.246327,3.502998
0.021000,0.007662,0.250602,3.014597
0.022000,0.006048,0.254549,2.533102
0.023000,0.004896,0.258167,2.031874
0.024000,0.002887,0.258167,1.536565
0.025000,-0.000801,0.259153,1.033363
0.026000,-0.001196,0.258167,0.511413
0.027000,-0.000373,0.261127,0.008209
0.028000,0.001998,0.258167,-0.514728
0.029000,-0.007519,0.253891,-1.039311
0.030000,-0.007222,0.252904,-1.568828
0.031000,-0.005411,0.251260,-2.094728
0.032000,-0.007222,0.245998,-2.610762
0.033000,-0.009198,0.240407,-3.117917
0.034000,-0.009988,0.234158,-3.622771
0.035000,-0.011635,0.226922,-4.118745
0.036000,-0.012655,0.218700,-4.603538
0.037000,-0.014038,0.208833,-5.086030
0.038000,-0.015355,0.198966,-5.552408
0.039000,-0.016640,0.188771,-6.010892
0.040000,-0.018023,0.176273,-6.449973
0.041000,-0.018912,0.164762,-6.872610
0.042000,-0.019933,0.152593,-7.268936
0.043000,-0.020690,0.138450,-7.637635
0.044000,-0.021414,0.125624,-7.974431
0.045000,-0.022106,0.112139,-8.274391
0.046000,-0.022534,0.096681,-8.534225
0.047000,-0.022830,0.082868,-8.752288
0.048000,-0.023061,0.069054,-8.926608
0.049000,-0.023192,0.054583,-9.058499
0.050000,-0.022962,0.039783,-9.140396
0.051000,-0.022896,0.025312,-9.178549
0.052000,-0.022764,0.011498,-9.170655
0.053000,-0.022501,-0.002973,-9.118688
0.054000,-0.021941,-0.016129,-9.025608
0.055000,-0.021348,-0.029284,-8.887797
0.056000,-0.020855,-0.042440,-8.716766
0.057000,-0.020361,-0.054938,-8.501663
0.058000,-0.019439,-0.066778,-8.261234
0.059000,-0.019043,-0.078618,-7.980680
0.060000,-0.018319,-0.089471,-7.678418
0.061000,-0.017430,-0.100325,-7.343267
0.062000,-0.016409,-0.110520,-6.986410
0.063000,-0.015553,-0.120058,-6.609490
0.064000,-0.014993,-0.128938,-6.211521
0.065000,-0.014038,-0.137490,-5.802370
0.066000,-0.012919,-0.145383,-5.362304
0.067000,-0.011404,-0.151961,-4.923226
0.068000,-0.010647,-0.158539,-4.462113
0.069000,-0.009692,-0.164459,-3.995080
0.070000,-0.008737,-0.169392,-3.517524
0.071000,-0.007947,-0.174654,-3.029444
0.072000,-0.006564,-0.177943,-2.546628
0.073000,-0.006168,-0.180903,-2.044078
0.074000,-0.000439,-0.179917,-1.552054
0.075000,-0.006004,-0.187152,-1.035364
0.076000,-0.003468,-0.190441,-0.536764
0.077000,-0.000175,-0.184850,-0.008235
0.078000,0.003183,-0.178930,0.522266
0.079000,-0.000900,-0.181561,1.051780
0.080000,0.004599,-0.179259,1.580636
0.081000,0.005883,-0.174983,2.091403
0.082000,0.007299,-0.169721,2.604142
0.083000,0.008221,-0.164130,3.098464
0.084000,0.009802,-0.157223,3.600349
0.085000,0.011284,-0.149658,4.089079
0.086000,0.012667,-0.140778,4.576493
0.087000,0.014083,-0.132227,5.054370
0.088000,0.015334,-0.122689,5.524353
0.089000,0.016552,-0.111507,5.982825
0.090000,0.017672,-0.099996,6.424524
0.091000,0.018791,-0.087827,6.849450
0.092000,0.019746,-0.075329,7.246420
0.093000,0.020635,-0.062502,7.617737
0.094000,0.021327,-0.049347,7.956494
0.095000,0.021920,-0.034875,8.246576
0.096000,0.022216,-0.020733,8.488639
0.097000,0.022677,-0.006591,8.693538
0.098000,0.022842,0.007880,8.864562
0.099000,0.022875,0.022023,9.006643
0.100000,0.022875,0.037152,9.103337
0.101000,0.022512,0.050636,9.151355
0.102000,0.022578,0.064779,9.150697
0.103000,0.022249,0.078592,9.105968
0.104000,0.021821,0.092406,9.017825
0.105000,0.021327,0.106219,8.886926
0.106000,0.020767,0.118059,8.719521
0.107000,0.020207,0.130886,8.509688
0.108000,0.019483,0.143384,8.272229
