25 mF capacitor,,,
Time (s),Potential (V),Current (A),Resistance (Ohms)
0.39,3.880310059,0.3199768066,12.12684788
0.4,3.849983215,0.2679824829,14.36654804
0.41,3.807258606,0.2339172363,16.27609263
0.42,3.737449646,0.2080726624,17.96223302
0.43,3.68270874,0.1889228821,19.49318526
0.44,3.627967834,0.1746368408,20.77435561
0.45,3.570175171,0.1633834839,21.85150595
0.46,3.518486023,0.1527404785,23.03571429
0.47,3.466796875,0.1448249817,23.93783748
0.48,3.415107727,0.1378440857,24.77514875
0.49,3.366470337,0.1320648193,25.49104564
0.5,3.32069397,0.1268959045,26.16864572
0.51,3.275108337,0.1220321655,26.8380744
0.52,3.229522705,0.1180839539,27.34937813
0.53,3.190040588,0.1141166687,27.95420358
0.54,3.153610229,0.1110839844,28.38942308
0.55,3.11088562,0.1083374023,28.71478873
0.56,3.074455261,0.1056098938,29.11143218
0.57,3.034973145,0.1031684875,29.41763727
0.58,3.004455566,0.1013565063,29.6424539
0.59,2.968025208,0.09922027588,29.91349481
0.6,2.934646606,0.09740829468,30.12727629
0.61,2.898025513,0.09588241577,30.22478615
0.62,2.864646912,0.09405136108,30.45832488
0.63,2.834320068,0.09252548218,30.6328592
0.64,2.797698975,0.09132385254,30.63492063
0.65,2.767372131,0.08979797363,30.81775701
0.66,2.733802795,0.08857727051,30.86347976
0.67,2.697372437,0.08735656738,30.87772926
0.68,2.667045593,0.08646011353,30.84712111
0.69,2.633476257,0.0852394104,30.89505482
0.7,2.603149414,0.08432388306,30.8708437
0.71,2.572631836,0.08310317993,30.95708056
0.72,2.542304993,0.08218765259,30.93293107
0.73,2.511978149,0.08159637451,30.78541374
0.74,2.484512329,0.08068084717,30.79432624
0.75,2.451133728,0.07946014404,30.84733557
0.76,2.423667908,0.07884979248,30.73778423
0.77,2.396392822,0.07793426514,30.74889868
0.78,2.365875244,0.07671356201,30.84037792
0.79,2.338600159,0.07581710815,30.84528302
0.8,2.305030823,0.07551193237,30.5253852
0.81,2.277755737,0.07459640503,30.53439018
0.82,2.250289917,0.0733757019,30.66805303
0.83,2.223014832,0.07307052612,30.42286609
0.84,2.192497253,0.07246017456,30.25796262
0.85,2.168273926,0.071849823,30.17786037
0.86,2.140808105,0.07095336914,30.17204301
0.87,2.116584778,0.07034301758,30.08947939
0.88,2.089118958,0.06973266602,29.95897155
0.89,2.06489563,0.06912231445,29.87306843
0.9,2.03742981,0.06851196289,29.73830735
0.91,2.013206482,0.06759643555,29.78273138
0.92,1.991844177,0.06729125977,29.60034014
0.93,1.964569092,0.0666809082,29.46224256
0.94,1.934051514,0.06608963013,29.26406926
0.95,1.912879944,0.06517410278,29.35030729
0.96,1.888465881,0.064868927,29.11202587
0.97,1.864242554,0.06456375122,28.87444609
0.98,1.839828491,0.06364822388,28.90620318
0.99,1.818466187,0.06303787231,28.84720121
1,1.794242859,0.06242752075,28.74121601
1.01,1.769828796,0.06212234497,28.48940743
1.02,1.748657227,0.06151199341,28.42790698
1.03,1.727294922,0.06092071533,28.35316218
1.04,1.706123352,0.06031036377,28.28905756
1.05,1.684761047,0.05970001221,28.22044728
1.06,1.660346985,0.05939483643,27.95439949
1.07,1.642227173,0.05878448486,27.93640493
1.08,1.61781311,0.05847930908,27.66470972
1.09,1.596641541,0.05756378174,27.73691186
1.1,1.575279236,0.05725860596,27.51165889
1.11,1.547813416,0.05664825439,27.32323232
1.12,1.529693604,0.05603790283,27.29748128
1.13,1.508331299,0.05575180054,27.05439617
1.14,1.490211487,0.05514144897,27.02525078
1.15,1.468849182,0.05453109741,26.93599161
1.16,1.447486877,0.05392074585,26.84471171
1.17,1.429367065,0.05361557007,26.65955176
1.18,1.411056519,0.05270004272,26.7752443
1.19,1.389694214,0.05270004272,26.3698878
1.2,1.371574402,0.05208969116,26.33101428
1.21,1.353263855,0.0514793396,26.28751389
1.22,1.332092285,0.05117416382,26.0305628
1.23,1.313781738,0.05027770996,26.13050076
1.24,1.295471191,0.04997253418,25.92366412
1.25,1.277351379,0.0496673584,25.71812596
1.26,1.259040833,0.04875183105,25.82550861
1.27,1.243782043,0.04844665527,25.67322835
1.28,1.225662231,0.04783630371,25.62200957
1.29,1.207351685,0.04753112793,25.40128411
1.3,1.189041138,0.04692077637,25.34146341
1.31,1.173782349,0.04661560059,25.18003273
1.32,1.149559021,0.0463104248,24.82289951
1.33,1.13735199,0.04541397095,25.04409912
1.34,1.119041443,0.04541397095,24.64090718
1.35,1.103973389,0.04480361938,24.64027246
1.36,1.0887146,0.04419326782,24.63530427
1.37,1.073455811,0.04388809204,24.4589309
1.38,1.058387756,0.04327774048,24.45570736
1.39,1.040077209,0.04266738892,24.37639696
1.4,1.027870178,0.04266738892,24.09029951
1.41,1.009750366,0.04175186157,24.18455916
1.42,0.9944915771,0.04144668579,23.99447768
1.43,0.9792327881,0.04083633423,23.97944886
1.44,0.963973999,0.04053115845,23.78352941
1.45,0.9519577026,0.03993988037,23.834766
1.46,0.9366989136,0.03963470459,23.63330125
1.47,0.9244918823,0.03932952881,23.50630456
1.48,0.9092330933,0.03902435303,23.29912023
1.49,0.8941650391,0.03810882568,23.46346346
1.5,0.8819580078,0.03749847412,23.51983723
1.51,0.8697509766,0.03719329834,23.38461538
1.52,0.8544921875,0.03658294678,23.35766423
1.53,0.8424758911,0.036277771,23.22292324
1.54,0.8302688599,0.03566741943,23.27807487
1.55,0.8180618286,0.03536224365,23.13376483
1.56,0.8028030396,0.03507614136,22.88743883
1.57,0.793838501,0.03477096558,22.83049918
1.58,0.7816314697,0.03416061401,22.88107203
1.59,0.7633209229,0.03385543823,22.54647887
1.6,0.7480621338,0.03355026245,22.29675952
1.61,0.7390975952,0.03293991089,22.43775333
1.62,0.7238388062,0.03263473511,22.18001169
1.63,0.7177352905,0.03202438354,22.41215009
1.64,0.7024765015,0.03202438354,21.935676
1.65,0.6963729858,0.03141403198,22.16757741
1.66,0.6813049316,0.0311088562,21.90067443
1.67,0.6721496582,0.03080368042,21.82043344
1.68,0.659942627,0.03049850464,21.63852408
1.69,0.6477355957,0.02990722656,21.65816327
1.7,0.6385803223,0.02960205078,21.57216495
1.71,0.6296157837,0.029296875,21.49088542
1.72,0.6174087524,0.02899169922,21.29605263
1.73,0.608253479,0.02868652344,21.20345745
1.74,0.5990982056,0.02807617188,21.33831522
1.75,0.5899429321,0.02807617188,21.01222826
1.76,0.5809783936,0.02746582031,21.15277778
1.77,0.5687713623,0.02716064453,20.94101124
1.78,0.5626678467,0.02685546875,20.95170455
1.79,0.5504608154,0.02655029297,20.73275862
1.8,0.541305542,0.02624511719,20.625
1.81,0.5321502686,0.02593994141,20.51470588
1.82,0.52318573,0.02532958984,20.65512048
1.83,0.5140304565,0.02532958984,20.2936747
1.84,0.5048751831,0.02473831177,20.40863531
1.85,0.4957199097,0.02443313599,20.28883685
